trip_id,start_time,end_time,headway_secs,exact_times
9520676,07:45:00,19:00:00,1500,1
9520678,07:57:00,15:52:00,1500,1
9520674,07:45:00,21:55:00,1500,1
9520675,07:57:00,18:47:00,1500,1
9520695,07:38:00,15:58:00,1500,1
9520696,07:46:00,10:16:00,1500,1
9520699,07:54:00,10:24:00,1500,1
9520698,10:45:00,16:10:00,1500,1
9520690,07:38:00,19:18:00,1500,1
9520691,07:46:00,10:16:00,1500,1
9520694,07:54:00,10:24:00,1500,1
9520693,10:45:00,19:05:00,1500,1
80,07:00:00,20:00:00,3600,0
79,07:00:00,23:00:00,3600,0
9520748,07:40:00,15:42:00,1200,1
9520749,07:50:00,15:52:00,1200,1
9520743,07:40:00,18:42:00,1200,1
9520744,07:50:00,18:52:00,1200,1
9520728,07:35:00,15:55:00,1200,1
9520729,07:41:00,10:41:00,1200,1
9520727,07:48:00,10:48:00,1200,1
9520731,11:05:00,16:05:00,1200,1
9520732,07:35:00,19:15:00,1200,1
9520733,07:41:00,10:41:00,1200,1
9520726,07:48:00,10:48:00,1500,1
9520735,11:05:00,19:05:00,1200,1
9520708,16:00:00,19:30:00,1800,1
9520709,16:10:00,19:10:00,1800,1
9520710,16:20:00,19:20:00,1800,1
9520706,19:00:00,22:30:00,1800,1
9520707,19:10:00,22:10:00,1800,1
9520711,19:20:00,22:20:00,1800,1
