trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
9520672,07:23:00,07:23:00,12,0,1
9520672,07:31:00,07:31:00,13,1,1
9520672,07:32:00,07:32:00,14,2,1
9520672,07:33:00,07:33:00,15,3,1
9520672,07:35:00,07:35:00,16,4,1
9520672,07:37:00,07:37:00,17,5,1
9520672,07:39:00,07:39:00,18,6,1
9520672,07:40:00,07:40:00,19,7,1
9520672,07:40:00,07:40:00,20,8,1
9520672,07:42:00,07:42:00,21,9,1
9520672,07:45:00,07:45:00,11,10,1
9520673,07:35:00,07:35:00,12,0,1
9520673,07:43:00,07:43:00,13,1,1
9520673,07:44:00,07:44:00,14,2,1
9520673,07:45:00,07:45:00,15,3,1
9520673,07:47:00,07:47:00,16,4,1
9520673,07:49:00,07:49:00,17,5,1
9520673,07:51:00,07:51:00,18,6,1
9520673,07:52:00,07:52:00,19,7,1
9520673,07:52:00,07:52:00,20,8,1
9520673,07:54:00,07:54:00,21,9,1
9520673,07:57:00,07:57:00,11,10,1
9520670,07:23:00,07:23:00,12,0,1
9520670,07:31:00,07:31:00,13,1,1
9520670,07:32:00,07:32:00,14,2,1
9520670,07:33:00,07:33:00,15,3,1
9520670,07:35:00,07:35:00,16,4,1
9520670,07:37:00,07:37:00,17,5,1
9520670,07:39:00,07:39:00,18,6,1
9520670,07:40:00,07:40:00,19,7,1
9520670,07:40:00,07:40:00,20,8,1
9520670,07:42:00,07:42:00,21,9,1
9520670,07:45:00,07:45:00,11,10,1
9520671,07:35:00,07:35:00,12,0,1
9520671,07:43:00,07:43:00,13,1,1
9520671,07:44:00,07:44:00,14,2,1
9520671,07:45:00,07:45:00,15,3,1
9520671,07:47:00,07:47:00,16,4,1
9520671,07:49:00,07:49:00,17,5,1
9520671,07:51:00,07:51:00,18,6,1
9520671,07:52:00,07:52:00,19,7,1
9520671,07:52:00,07:52:00,20,8,1
9520671,07:54:00,07:54:00,21,9,1
9520671,07:57:00,07:57:00,11,10,1
9520676,07:45:00,07:45:00,11,0,1
9520676,07:46:00,07:46:00,12,1,1
9520676,07:50:00,07:50:00,13,2,1
9520676,07:51:00,07:51:00,14,3,1
9520676,07:52:00,07:52:00,15,4,1
9520676,07:54:00,07:54:00,16,5,1
9520676,07:58:00,07:58:00,17,6,1
9520676,08:00:00,08:00:00,18,7,1
9520676,08:01:00,08:01:00,19,8,1
9520676,08:01:00,08:01:00,20,9,1
9520676,08:05:00,08:05:00,21,10,1
9520676,08:10:00,08:10:00,11,11,1
9520678,07:57:00,07:57:00,11,0,1
9520678,07:58:00,07:58:00,12,1,1
9520678,08:02:00,08:02:00,13,2,1
9520678,08:03:00,08:03:00,14,3,1
9520678,08:04:00,08:04:00,15,4,1
9520678,08:06:00,08:06:00,16,5,1
9520678,08:10:00,08:10:00,17,6,1
9520678,08:12:00,08:12:00,18,7,1
9520678,08:13:00,08:13:00,19,8,1
9520678,08:13:00,08:13:00,20,9,1
9520678,08:17:00,08:17:00,21,10,1
9520678,08:22:00,08:22:00,11,11,1
9520677,19:00:00,19:00:00,11,0,1
9520677,19:01:00,19:01:00,12,1,1
9520677,19:05:00,19:05:00,13,2,1
9520677,19:06:00,19:06:00,14,3,1
9520677,19:07:00,19:07:00,15,4,1
9520677,19:09:00,19:09:00,16,5,1
9520677,19:13:00,19:13:00,17,6,1
9520677,19:15:00,19:15:00,18,7,1
9520677,19:16:00,19:16:00,19,8,1
9520677,19:16:00,19:16:00,20,9,1
9520677,19:20:00,19:20:00,21,10,1
9520677,19:30:00,19:30:00,11,11,1
9520674,07:45:00,07:45:00,11,0,1
9520674,07:46:00,07:46:00,12,1,1
9520674,07:50:00,07:50:00,13,2,1
9520674,07:51:00,07:51:00,14,3,1
9520674,07:52:00,07:52:00,15,4,1
9520674,07:54:00,07:54:00,16,5,1
9520674,07:58:00,07:58:00,17,6,1
9520674,08:00:00,08:00:00,18,7,1
9520674,08:01:00,08:01:00,19,8,1
9520674,08:01:00,08:01:00,20,9,1
9520674,08:05:00,08:05:00,21,10,1
9520674,08:10:00,08:10:00,11,11,1
9520675,07:57:00,07:57:00,11,0,1
9520675,07:58:00,07:58:00,12,1,1
9520675,08:02:00,08:02:00,13,2,1
9520675,08:03:00,08:03:00,14,3,1
9520675,08:04:00,08:04:00,15,4,1
9520675,08:06:00,08:06:00,16,5,1
9520675,08:10:00,08:10:00,17,6,1
9520675,08:12:00,08:12:00,18,7,1
9520675,08:13:00,08:13:00,19,8,1
9520675,08:13:00,08:13:00,20,9,1
9520675,08:17:00,08:17:00,21,10,1
9520675,08:22:00,08:22:00,11,11,1
9520679,21:55:00,21:55:00,11,0,1
9520679,21:56:00,21:56:00,12,1,1
9520679,22:00:00,22:00:00,13,2,1
9520679,22:01:00,22:01:00,14,3,1
9520679,22:02:00,22:02:00,15,4,1
9520679,22:04:00,22:04:00,16,5,1
9520679,22:08:00,22:08:00,17,6,1
9520679,22:10:00,22:10:00,18,7,1
9520679,22:11:00,22:11:00,19,8,1
9520679,22:11:00,22:11:00,20,9,1
9520679,22:15:00,22:15:00,21,10,1
9520679,22:30:00,22:30:00,11,11,1
9520683,15:52:00,15:52:00,11,0,1
9520683,15:57:00,15:57:00,12,1,1
9520682,19:30:00,19:30:00,11,0,1
9520682,19:31:00,19:31:00,12,1,1
9520681,18:47:00,18:47:00,11,0,1
9520681,18:48:00,18:48:00,12,1,1
9520680,22:30:00,22:30:00,11,0,1
9520680,22:31:00,22:31:00,12,1,1
9520695,07:38:00,07:38:00,1,0,1
